model,threshold,accuracy,precision_1,recall_1,f1_1
XGBoost,0.47745025157928467,0.62392,0.3038519072550486,0.6242796772954283,0.4087536158973714
RandomForest,0.49208391066506246,0.63152,0.30609874152952565,0.6073761044948137,0.4070545829042225
SMOTE+XGBoost,0.2563515305519104,0.52776,0.2718473451327434,0.7552823665001921,0.3997966446365023
LogReg,0.5174435730003989,0.5788,0.2839285714285714,0.6719170188244333,0.39917836357411846
SMOTE+LogReg,0.40795282091684576,0.47104,0.2598538397028873,0.8332693046484825,0.39616438356164385
DecisionTree,0.5231173273071523,0.63592,0.30227365002030043,0.5720322704571648,0.39553725594368444
